00:00,0
00:01,0
00:00:02,7.5
00:03,7
00:00:04,23.5
00:05,1
00:00:06,13.5
00:00:07,12.5
00:00:08,12.5
00:09,1
00:00:10,11.5
00:00:11,9.5
00:00:12,8.5
00:00:13,11.5
00:14,1
00:00:15,11.5
00:00:16,9.5
00:17,1
00:18,1
00:00:19,10.5
00:00:20,7.5
00:21,8
00:22,1
00:23,1
00:24,2
00:00:25,14.5
00:26,2
00:00:27,8.5
00:00:28,7.5
00:29,8
00:30,1
00:31,8
00:00:32,7.5
00:33,7
00:34,1
00:35,2
00:36,1
00:37,1
00:38,9
00:00:39,10.5
00:00:40,7.5
00:00:41,13.5
00:00:42,8.5
00:00:43,8.5
00:00:44,7.5
00:00:45,8.5
00:00:46,14.5
00:00:47,13.5
00:00:48,13.5
00:49,1
00:50,1
00:51,1
00:52,1
00:53,1
00:00:54,17.5
00:55,1
00:56,9
00:57,7
00:58,1
00:00:59,18.5
01:00,9
00:01:01,10.5
01:02,8
00:01:03,12.5
01:04,1
00:01:05,7.5
01:06,8
00:01:07,7.5
01:08,1
01:09,1
00:01:10,12.5
01:11,1
01:12,1
01:13,1
00:01:14,8.5
00:01:15,9.5
00:01:16,18.5
00:01:17,14.5
00:01:18,11.5
00:01:19,8.5
01:20,1
01:21,1
00:01:22,16.5
01:23,1
00:01:24,9.5
00:01:25,9.5
00:01:26,9.5
00:01:27,9.5
00:01:28,9.5
00:01:29,6.5
00:01:30,5.5
01:31,2
00:01:32,3.5
01:33,2
00:01:34,3.5
00:01:35,5.5
00:01:36,10.5
01:37,1
01:38,9
01:39,9
00:01:40,11.5
00:01:41,11.5
01:42,1
00:01:43,10.5
01:44,9
01:45,1
01:46,1
00:01:47,9.5
01:48,1
00:01:49,12.5
00:01:50,11.5
01:51,1
00:01:52,13.5
00:01:53,10.5
01:54,9
00:01:55,11.5
00:01:56,12.5
01:57,9
00:01:58,9.5
01:59,1
00:02:00,10.5
00:02:01,10.5
00:02:02,10.5
00:02:03,12.5
02:04,8
02:05,1
02:06,2
02:07,1
02:08,1
00:02:09,6.5
02:10,7
02:11,7
02:12,1
02:13,1
02:14,1
02:15,1
02:16,2
00:02:17,8.5
00:02:18,5.5
02:19,6
00:02:20,7.5
02:21,7
00:02:22,10.5
00:02:23,9.5
02:24,2
02:25,9
00:02:26,10.5
02:27,7
02:28,7
02:29,8
02:30,7
02:31,9
00:02:32,8.5
00:02:33,10.5
02:34,1
02:35,1
02:36,9
02:37,1
00:02:38,7.5
02:39,8
00:02:40,7.5
00:02:41,7.5
00:02:42,6.5
02:43,6
00:02:44,6.5
02:45,8
02:46,8
02:47,6
00:02:48,4.5
00:02:49,4.5
02:50,8
02:51,5
00:02:52,5.5
02:53,6
00:02:54,5.5
00:02:55,3.5
00:02:56,4.5
00:02:57,5.5
00:02:58,7.5
00:02:59,6.5
03:00,9
03:01,9
03:02,8
03:03,6
00:03:04,2.5
03:05,6
03:06,7
03:07,9
03:08,9
00:03:09,11.5
00:03:10,6.5
00:03:11,7.5
03:12,1
03:13,6
00:03:14,8.5
03:15,2
00:03:16,8.5
03:17,6
03:18,5
00:03:19,8.5
